_자율방범대,순찰장소,address,해당관서,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
화정동 자율방범대,로데오거리 일대,경기 고양시 덕양구 화신로260번길 33,화정지구대(031-930-6112),경기 고양시 덕양구 화신로260번길 33,126.8324917,37.6323144,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 화신로260번길 33,경기도 고양시 덕양구 화정동 979-1,10500,4128162200,화정2동,4128112300,화정동
행신2동 어머니방범대,행신역 일대,경기 고양시 덕양구 충장로 18,행신지구대(031-930-7112),경기 고양시 덕양구 충장로 18,126.8344483,37.6143945,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 충장로 18,경기도 고양시 덕양구 행신동 761-6,10526,4128165000,행신2동,4128112800,행신동
성사1동 자율방범대,세계 사진관 인근,경기 고양시 덕양구 호국로 778-24,원당지구대(031-962-6112),경기 고양시 덕양구 호국로 778-24,126.8367593,37.655792,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 호국로 778-24,경기도 고양시 덕양구 성사동 701-12,10464,4128154000,성사1동,4128110600,성사동
성사2동 자율방범대,신원당마을 상가단지,경기 고양시 덕양구 고양대로1384번길 9,원당지구대(031-962-6112),경기 고양시 덕양구 고양대로1384번길 9,126.8376781,37.6535575,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 고양대로1384번길 9,경기도 고양시 덕양구 성사동 722-3,10468,4128155000,성사2동,4128110600,성사동
주교동 자율방범대,주교1공원 인근,경기 고양시 덕양구 마상로140번길 81,원당지구대(031-962-6112),경기 고양시 덕양구 마상로140번길 81,126.8351635,37.6563799,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 마상로140번길 81,경기도 고양시 덕양구 주교동 614-6,10461,4128154000,성사1동,4128110100,주교동
주교제일 자율방범대,빌라단지 일대,경기 고양시 덕양구 마상로134번길 16,원당지구대(031-962-6112),경기 고양시 덕양구 마상로134번길 16,126.8368443,37.6590635,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 마상로134번길 16,경기도 고양시 덕양구 주교동 623-19,10462,4128154000,성사1동,4128110100,주교동
주교동 어머니방범대,새빛교회 인근,경기 고양시 덕양구 마상로63번길 22,원당지구대(031-962-6112),경기 고양시 덕양구 마상로63번길 22,126.8315359,37.6629574,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 마상로63번길 22,경기도 고양시 덕양구 주교동 305-3,10297,4128151000,주교동,4128110100,주교동
성사1동 어머니방범대,형제빌딩 인근,경기 고양시 덕양구 마상로 158,원당지구대(031-962-6112),경기 고양시 덕양구 마상로 158,126.8398136,37.6583359,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 마상로 158,경기도 고양시 덕양구 성사동 499-2,10463,4128154000,성사1동,4128110600,성사동
능곡동 자율방범대,능곡역 일대,경기 고양시 덕양구 토당로 76,행신지구대(031-930-7112),경기 고양시 덕양구 토당로 76,126.8187202,37.6219779,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 토당로 76,경기도 고양시 덕양구 토당동 330-1,10508,4128161000,능곡동,4128112000,토당동
행신2동 자율방범대,행신2동 행복센터,경기 고양시 덕양구 충경로 30,행신지구대(031-930-7112),경기 고양시 덕양구 충경로 30,126.8329989,37.615092,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 충경로 30,경기도 고양시 덕양구 행신동 717,10523,4128165000,행신2동,4128112800,행신동
행주동 어머니방범대,소만초등학교 일대,경기 고양시 덕양구 소만로 49,행신지구대(031-930-7112),경기 고양시 덕양구 소만로 49,126.8409526,37.6171346,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 소만로 49,경기도 고양시 덕양구 행신동 781,10529,4128165000,행신2동,4128112800,행신동
창릉동 자율방범대,도래울고등학교 인근,경기 고양시 덕양구 도래울로 42-4,신도지구대(02-381-0112),경기 고양시 덕양구 도래울로 42-4,126.8690329,37.6290663,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 도래울로 42-4,경기도 고양시 덕양구 도내동 1093,10551,4128153000,흥도동,4128110500,도내동
창릉동 자율방범대,삼송1동 행복센터 일대,경기 고양시 덕양구 신도길 8-8,신도지구대(02-381-0112),경기 고양시 덕양구 신도길 8-8,126.8937211,37.6525827,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 신도길 8-8,경기도 고양시 덕양구 삼송동 143-1,10590,4128157600,삼송1동,4128111100,삼송동
흥도도래울 자율방범대,원흥역 일대,경기 고양시 덕양구 의장로 144,도래울지구대(031-970-3112),경기 고양시 덕양구 의장로 144,126.8704431,37.635441,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 의장로 144,경기도 고양시 덕양구 도내동 959,10551,4128153000,흥도동,4128110500,도내동
고양높빛 자율방범대,초원의모텔 일대,경기 고양시 덕양구 읍내로6번길 1-16,고양파출소(031-962-9112),경기 고양시 덕양구 읍내로6번길 1-16,126.9025445,37.701374,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 읍내로6번길 1-16,경기도 고양시 덕양구 고양동 204-6,10275,4128159000,고양동,4128111600,고양동
고양동 어머니방범대,풍림아파트 10단지 일대,경기 고양시 덕양구 혜음로 174,고양파출소(031-962-9112),경기 고양시 덕양구 혜음로 174,126.9012394,37.7160393,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 혜음로 174,경기도 고양시 덕양구 고양동 915,10271,4128159000,고양동,4128111600,고양동
관산동 자율방범대,더퍼스트프라임 일대,경기 고양시 덕양구 통일로 760,관산파출소(031-962-8112),경기 고양시 덕양구 통일로 760,126.8660416,37.6879549,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 통일로 760,경기도 고양시 덕양구 관산동 1015,10285,4128160000,관산동,4128111800,관산동
관산동 어머니방범대,유승아파트 일대,경기 고양시 덕양구 통일로742번길 63,관산파출소(031-962-8112),경기 고양시 덕양구 통일로742번길 63,126.8685492,37.6908172,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 통일로742번길 63,경기도 고양시 덕양구 관산동 126,10285,4128160000,관산동,4128111800,관산동
덕은한강 자율방범대,지식산업센터 일대,경기 고양시 덕양구 자유로 86,화전파출소(031-971-0112),경기 고양시 덕양구 자유로 86,126.8555791,37.5814347,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 자유로 86,경기도 고양시 덕양구 덕은동 557-1,10542,4128167000,대덕동,4128113100,덕은동
행신3동 자율방범대,행신중학교 일대,경기 고양시 덕양구 화신로 22,행신3파출소(031-978-0112),경기 고양시 덕양구 화신로 22,126.8393797,37.6148486,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 화신로 22,경기도 고양시 덕양구 행신동 784,10530,4128165000,행신2동,4128112800,행신동
행신4동 자율방범대,휴먼시아 5단지 일대,경기도 고양시 덕양구 행신동 1123,행신3파출소(031-978-0112),경기도 고양시 덕양구 행신동 1123,126.8456806,37.6153699,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 행신동 1123,NULL,4128165000,행신2동,4128112800,행신동
