전처리_주소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
경기도 고양시 덕양구 동헌로 436,경기도 고양시 덕양구 동헌로 436,126.9003924,37.7058139,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 동헌로 436,경기도 고양시 덕양구 고양동 30,10274,4128159000,고양동,4128111600,고양동
경기도 고양시 덕양구 유산길 100,경기도 고양시 덕양구 유산길 100,126.8483581,37.7316985,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 유산길 100,경기도 고양시 덕양구 내유동 769-6,10263,4128160000,관산동,4128111900,내유동
경기도 고양시 덕양구 삼원로3길 70,경기도 고양시 덕양구 삼원로3길 70,126.8764119,37.6423457,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 삼원로3길 70,경기도 고양시 덕양구 삼송동 369,10550,4128157700,삼송2동,4128111100,삼송동
경기도 고양시 덕양구 화정동 857,경기도 고양시 덕양구 화정동 857,126.8341529,37.6478103,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 어울림로 32,경기도 고양시 덕양구 화정동 857,10472,4128162100,화정1동,4128112300,화정동
경기도 고양시 덕양구 덕수천1로 26,경기도 고양시 덕양구 덕수천1로 26,126.8801867,37.6467696,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 덕수천1로 26,경기도 고양시 덕양구 삼송동 339,10588,4128157700,삼송2동,4128111100,삼송동
경기도 고양시 덕양구 화신로 148,경기도 고양시 덕양구 화신로 148,126.8423162,37.6248878,정좌표,4.12811E+18,새주소,경기도 고양시 덕양구 화신로 148,경기도 고양시 덕양구 행신동 924,10493,4128165500,행신3동,4128112800,행신동
경기도 고양시 덕양구 행신동 924,경기도 고양시 덕양구 행신동 924,126.8423162,37.6248878,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 화신로 148,경기도 고양시 덕양구 행신동 924,10493,4128165500,행신3동,4128112800,행신동
경기도 고양시 덕양구 고양동 30,경기도 고양시 덕양구 고양동 30,126.9003924,37.7058139,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 동헌로 436,경기도 고양시 덕양구 고양동 30,10274,4128159000,고양동,4128111600,고양동
경기도 고양시 덕양구 화정동 867,경기도 고양시 덕양구 화정동 867,126.8300881,37.6411026,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 화중로151번길 56,경기도 고양시 덕양구 화정동 867,10475,4128162100,화정1동,4128112300,화정동
경기도 고양시 덕양구 화정동 859,경기도 고양시 덕양구 화정동 859,126.8308361,37.6454258,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 화수로 11-2,경기도 고양시 덕양구 화정동 859,10472,4128162100,화정1동,4128112300,화정동
