설치지역,전처리_주소,방범용 번호,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
주교동 581 (원당초교 옆 놀이터 주변),주교동 581,S-5102,경기도 고양시 덕양구 주교동 581,126.8343724,37.6613186,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 마상로102번길 10,경기도 고양시 덕양구 주교동 581,10459,4128151000,주교동,4128110100,주교동
주교동 296 (배다리어린이공원),주교동 296,S-5103,경기도 고양시 덕양구 주교동 296,126.829259,37.6628808,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 마상로 51,경기도 고양시 덕양구 주교동 296,10296,4128151000,주교동,4128110100,주교동
원당동 261-1,원당동 261-1,S-5104,경기도 고양시 덕양구 원당동 261-1,126.8540486,37.6708459,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 원당동 261-1,10292,4128152000,원신동,4128110200,원당동
주교동 583 (미성2차 청계마트 앞),주교동 583,S-5105,경기도 고양시 덕양구 주교동 583,126.8347211,37.6600336,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 마상로114번길 18-7,경기도 고양시 덕양구 주교동 583,10459,4128151000,주교동,4128110100,주교동
주교동 1069-4 (마을입구 고양TG 인근),주교동 1069-4,S-5106,경기도 고양시 덕양구 주교동 1069-4,126.8221088,37.6563223,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 대주로 463,경기도 고양시 덕양구 주교동 1069-4,10454,4128151000,주교동,4128110100,주교동
주교동 591-5 (미도3차아파트 앞 노상),주교동 591-5,S-5107,경기도 고양시 덕양구 주교동 591-5,126.831054,37.6604389,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로59번길 74,경기도 고양시 덕양구 주교동 591-5,10459,4128151000,주교동,4128110100,주교동
주교동 569 (CU 편의점 앞 노상),주교동 569,S-5108,경기도 고양시 덕양구 주교동 569,126.8375793,37.6620801,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로113번길 9,경기도 고양시 덕양구 주교동 569,10298,4128151000,주교동,4128110100,주교동
주교동 313-16 (마상공원:근린공원),주교동 313-16,S-5109,경기도 고양시 덕양구 주교동 313-16,126.8336725,37.6604107,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로69번길 46,경기도 고양시 덕양구 주교동 313-16,10459,4128151000,주교동,4128110100,주교동
주교동 576 (주교7호:어린이공원),주교동 576,S-5110,경기도 고양시 덕양구 주교동 576,126.8360139,37.661434,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 마상로107번길 18,경기도 고양시 덕양구 주교동 576,10298,4128151000,주교동,4128110100,주교동
주교동 598 (성산빌라 B동),주교동 598,S-5112,경기도 고양시 덕양구 주교동 598,126.832755,37.658933,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로59번길 33,경기도 고양시 덕양구 주교동 598,10460,4128151000,주교동,4128110100,주교동
